month,channel,money,core_gain,core_cost,corecost_once,corecost_forever,corecost_play
2024-06-01,800301,96611,1779794,1758091,867412.16,778525.5300000003,112159
2024-06-01,800303,579565,5283191,5148722,2713106.5900000003,1954169.83,481464
2024-06-01,800304,11762295,105156316,105012259,53696846.25999999,42995227.160000004,8320660
2024-06-01,800306,9377028,111576703,110304787,55252379.91000002,45796605.289999984,9256227
2024-05-01,800301,95013,1603058,1318388,663875.2600000001,605227.9200000002,49287
2024-05-01,800303,600062,6909801,6011477,2975642.37,2709790.0300000003,326066
2024-05-01,800304,15580033,124900521,118015850,57615758.45,54132454.18999999,6268229
2024-05-01,800306,11525971,125472884,117679310,57008992.08999998,53915681.04000002,6755150
2024-04-01,800301,143097,1835478,2192090,1165918.5699999998,966515.4400000002,59660
2024-04-01,800303,570568,7734991,9067799,4821722.82,3926234.59,319861
2024-04-01,800304,16591439,156365400,184504210,95979345.47999999,81523185.82000001,7002370
2024-04-01,800306,13446261,161131580,194830584,101574213.34000003,85714651.09999995,7542373
2024-03-01,800301,36984,1555922,1136921,501924.97000000003,569035.56,65665
2024-03-01,800303,305249,6831282,4820927,1914229.16,2396156.0399999996,510561
2024-03-01,800304,10480083,133167299,103535131,45020899.15,49550934.73,8963882
2024-03-01,800306,8396291,141161073,107740535,46245522.28999999,52029983.69999997,9465692
2024-02-01,800301,56526,1423212,1428231,710362.4199999999,665741.3399999999,52132
2024-02-01,800303,381381,5156926,4860205,2473389.7,2109007.1,277826
2024-02-01,800304,11238489,122384360,117288084,56074975.28,53982004.95999998,7231705
2024-02-01,800306,9618537,129485334,121481856,57414763.07999998,56160567.36,7907282
2024-01-01,800301,126698,2472585,2524492,1037877.2000000002,1379647.2200000002,106974
2024-01-01,800303,569180,7825750,8402618,3509955.6299999994,4517125.6899999995,375566
2024-01-01,800304,14911426,165745843,162902228,67953715.69000001,86175621.29000002,8773758
2024-01-01,800306,11582591,169670406,171065591,70213877.41,91288442.08000001,9564187
